Tarih,Saat,Egzersiz Adi,Tekrar Sayisi,Yon
2025-11-09,21:25:38,Yana Egilme,5,Sag
2025-11-09,21:25:43,Yana Egilme,5,Sol
2025-11-09,21:29:32,Yana Egilme,5,Sol
2025-11-09,21:33:02,Yana Egilme,5,Sol
2025-11-10,18:22:37,ROM Fleksiyon,5,On
2025-11-14,20:51:02,Izometrik Lateral,3,Sol
2025-11-14,20:51:35,Izometrik Lateral,3,Sag
2025-11-14,20:57:16,Izometrik Lateral,3,Sol
2025-11-15,19:28:48,Yana Egilme,5,Sag
2025-11-15,19:30:57,Izometrik Lateral,3,Sol
2025-11-27,21:09:40,OMUZ_CEMBER,15,Sol
2025-11-27,21:09:47,OMUZ_CEMBER,15,Sag
2025-11-27,21:16:28,OMUZ_CEMBER,15,Sol
2025-11-27,21:16:34,OMUZ_CEMBER,15,Sag
2025-11-27,21:21:48,OMUZ_CEMBER,15,Sol
2025-11-27,21:21:56,OMUZ_CEMBER,15,Sag
2025-11-27,21:24:40,OMUZ_CEMBER,15,Sol
2025-11-27,21:24:44,OMUZ_CEMBER,15,Sag
2025-11-27,21:29:49,OMUZ_CEMBER,15,Sol
2025-11-27,21:29:51,OMUZ_CEMBER,15,Sag
2025-12-01,14:13:47,Yana Egilme,5,Sol
2025-12-03,15:07:57,BEL_TEK_DIZ,10,Sag
2025-12-07,21:46:17,OMUZ_CEMBER,15,Sol
2025-12-07,21:46:17,OMUZ_CEMBER,15,Sag
2025-12-07,22:31:46,KALCA_YAN_ACMA,5,Sag
2025-12-07,22:31:54,KALCA_YAN_ACMA,5,Sol
2025-12-08,22:10:08,DIZ_CAPRAZ_ITME,10,Genel
2025-12-18,22:44:11,Yana Egilme,10,Sol
2025-12-18,23:01:21,Yana Egilme,10,Sol
2025-12-18,23:01:37,Yana Egilme,10,Sag
2025-12-23,19:26:02,Yana Egilme,10,Sag
2025-12-23,19:29:09,Yana Egilme,10,Sol
2025-12-27,21:51:10,Yana Egilme,10,Sag
2025-12-27,21:51:21,Yana Egilme,10,Sol
2025-12-27,21:58:11,Yana Egilme,10,Sag
2025-12-29,18:41:49,Yana Egilme,10,Sag
2025-12-29,18:42:11,Yana Egilme,10,Sol
2025-12-30,22:17:27,DIZ_DUVAR_SQUAT,10,Sol
2026-01-05,18:32:15,Yana Egilme,10,Sol
2026-01-05,20:19:29,Yana Egilme,10,Sol
2026-01-06,17:02:48,Yana Egilme,10,Sag
2026-01-06,17:38:40,Yana Egilme,10,Sol
2026-01-06,19:07:25,Yana Egilme,10,Sol
2026-03-05,20:40:46,Yana Egilme,10,Sag
2026-03-05,20:55:02,Yana Egilme,10,Sag
2026-03-10,20:34:44,Yana Egilme,10,Sag
2026-03-10,22:44:23,Yana Egilme,10,Sag
2026-03-10,23:04:37,Yana Egilme,10,Sol
2026-03-10,23:06:17,ROM Ekstansiyon,10,Arka
2026-04-02,17:59:29,Yana Egilme,10,Sag
2026-04-02,18:25:09,ROM Ekstansiyon,10,Arka
2026-04-02,18:47:55,Yana Egilme,10,Sag
2026-04-02,18:53:06,Yana Egilme,10,Sag
2026-04-02,18:57:24,ROM Fleksiyon,10,On
2026-04-02,19:02:59,ROM Fleksiyon,10,On
2026-04-02,19:06:51,Yana Egilme,10,Sag
2026-04-02,19:23:56,ROM Fleksiyon,10,On
2026-04-02,19:45:10,Yana Egilme,10,Sag
2026-04-02,19:47:51,Yana Egilme,10,Sag
2026-04-02,19:50:36,Yana Egilme,10,Sol
2026-04-02,20:17:48,Yana Egilme,10,Sol
2026-04-17,21:41:52,Yana Egilme,10,Sag
2026-04-17,21:49:31,Yana Egilme,10,Sag
2026-04-17,22:18:25,Yana Egilme,10,Sol
2026-04-17,22:48:50,ROM Ekstansiyon,10,Arka
2026-04-17,22:49:39,ROM Fleksiyon,10,On
2026-04-19,21:21:27,ROM Fleksiyon,10,On
2026-04-20,17:40:24,ROM Fleksiyon,10,On
2026-04-20,17:43:05,ROM Fleksiyon,10,On
